Summary,Issue key,Issue id,Parent id,Issue Type,Status,Project key,Project name,Project type,Project lead,Project description,Project url,Priority,Resolution,Assignee,Reporter,Creator,Created,Updated,Last Viewed,Resolved,Affects Version/s,Fix Version/s,Fix Version/s,Due date,Votes,Labels,Labels,Labels,Labels,Labels,Labels,Description,Environment,Watchers,Watchers,Log Work,Log Work,Log Work,Log Work,Log Work,Log Work,Log Work,Log Work,Original Estimate,Remaining Estimate,Time Spent,Work Ratio,Σ Original Estimate,Σ Remaining Estimate,Σ Time Spent,Security Level,Outward issue link (Blocks),Outward issue link (Cloners),Outward issue link (Duplicate),Outward issue link (Fix),Outward issue link (Problem/Incident),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Releases),Outward issue link (Releases),Outward issue link (Releases),Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Custom field (Business Analyst),Custom field (Developer),Custom field (Development),Custom field (Due Date),Custom field (Epic Color),Custom field (Epic Link),Custom field (Epic Name),Custom field (Epic Status),Custom field (External issue ID),Custom field (External issue ID),Custom field (External issue ID),Custom field (External issue ID),Custom field (External issue ID),Custom field (External issue URL),Custom field (External issue URL),Custom field (External issue URL),Custom field (Hosting Environment),Custom field (Installation Date),Custom field (List of Trainees),Custom field (Peer Reviewer),Custom field (Policy Stat URL),Custom field (Process Status),Custom field (Product),Custom field (Product Owner),Custom field (QA Analyst),Custom field (Rank),Custom field (Request Type),Custom field (Request participants),Custom field (Start date),Custom field (Steps to Reproduce:),Custom field (Story Points),Custom field (Tech/Engineering),Custom field (Tracking Number),Custom field (YX Connect Site(s)),Custom field ([CHART] Date of First Response),Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment
QA Release - 2018-08-29,COMA-2695,29596,,Release,Complete,COMA,Colony Manager,software,admin,,,3 Standard,Done,mbender,bwinter,bwinter,29/Aug/18 12:20 PM,29/Aug/18 12:31 PM,04/Sep/18 11:21 AM,29/Aug/18 12:30 PM,,CM - Release 1.2,,,0,,,,,,,"* COMA-2045
** COMA-2693",,,,;29/Aug/18 12:30 PM;bwinter;900,,,,,,,,,0,900,,,0,900,,,,,,,COMA-2687,,,COMA-2693,COMA-2045,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,jcox,,{},,,,,,,,,,,,,,None,,,,,,Unassigned,cleduc,wwyatt,0|i00zv3:,,,,,,New Product/Feature,,YX Connect,,,,,,,,,,,,,,,,,,,,,,,,,,,
QA Release - 2018-08-28,COMA-2694,29595,,Release,Complete,COMA,Colony Manager,software,admin,,,3 Standard,Done,wwyatt,bwinter,bwinter,29/Aug/18 12:16 PM,04/Sep/18 11:25 AM,04/Sep/18 11:20 AM,29/Aug/18 12:30 PM,,CM - Release 1.2,,,0,,,,,,,"* COMA-2651
** COMA-2691

h1. Notes

*Small fix release - 2018-09-04 @ 9:07 AM*
* *Changes made:* Notes from [~rwilliams] in email on Sep 4 @ 9:07 AM:
** Added exception logging to the background import task
** Limited mouse imports to only allow for one per group at a time 
*** As part of this I put code in place that won’t allow a user to go to the upload page when there is an import in process. 
*** If they were to somehow get there and attempt to upload a new import, there will be a growler message that says that there is already a mouse import in process for their group.
** Added the capability for an Admin to kill/cancel an import that is currently in process
** Fixed a bug so that import stats and import status is updated when there are errors or exceptions during the import process
* *Change made by*: [~rwilliams]]
* *Change approved by*: N/A
* *Change affected* COMA-2651. ",,,,;29/Aug/18 12:30 PM;bwinter;900,,,,,,,,,0,900,,,0,900,,,,,,,COMA-2687,,,COMA-2691,COMA-2651,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,jcox,,{},,,,,,,,,,,,,,None,,,,,,Unassigned,cleduc,wwyatt,0|i00zuv:,,,,,,New Product/Feature,,YX Connect,2018-08-29 19:11:12.667,29/Aug/18 2:11 PM;mbender;Automated regression script suites 'Smoke Test' and 'Critical Path' have passed on Colony QA post this build.,"04/Sep/18 11:25 AM;bwinter;[~mbender], a new Colony QA release went out today.  See description above.  Can you run the regressions scripts?  I added the note to this Release ticket instead of the latest ticket, because the latest release ticket did not have the COMA ticket needing the small changes.  Let me know if you think I should move the small change note to the most recent QA release.",,,,,,,,,,,,,,,,,,,,,,,,
Transfer Mice action not working for Mice Records in Litter Card or Breeding Card,COMA-2693,29594,28213,Rework,Testing PASSED,COMA,Colony Manager,software,admin,,,3 Standard,Testing Done,,bwinter,bwinter,29/Aug/18 12:13 PM,29/Aug/18 4:30 PM,04/Sep/18 11:20 AM,29/Aug/18 4:30 PM,,CM - Release 1.2,,,0,,,,,,,"h1. What happened:

# Go to *Litters List*
# Select a litter
# Select 3-dot menu for Parent or Offspring Mouse Record
# Select Mark Transferred
# Nothing happens > Mouse is not marked transferred <- {color:#d04437}UNEXPECTED{color}
# Go to *Breedings List*
# Select a breeding
# Select 3-dot menu for Mouse Record in Parents Tab or Offspring Tab
# Select Mark Transferred
# Nothing happens > Mouse is not marked transferred <- {color:#d04437}UNEXPECTED{color}

h1. What I expected to happen:

I expected the mouse to be marked transferred when I selected ""Mark Transferred"" action from the mouse record's 3-dot menu.
",,,,;29/Aug/18 12:14 PM;bwinter;60,;29/Aug/18 4:30 PM;wwyatt;5400,,,,,,,,0,5460,,,0,5460,,COMA-2045,,,,,,,,,,,29/Aug/18 12:13 PM;bwinter;FAILED COMA-2045 Scenario 5-1.jpg;https://transnetyx.atlassian.net/secure/attachment/27497/FAILED+COMA-2045+Scenario+5-1.jpg,29/Aug/18 12:13 PM;bwinter;FAILED COMA-2045 Scenario 5-2.jpg;https://transnetyx.atlassian.net/secure/attachment/27498/FAILED+COMA-2045+Scenario+5-2.jpg,29/Aug/18 12:13 PM;bwinter;FAILED COMA-2045 Scenario 5-3.jpg;https://transnetyx.atlassian.net/secure/attachment/27499/FAILED+COMA-2045+Scenario+5-3.jpg,29/Aug/18 12:13 PM;bwinter;FAILED COMA-2045 Scenario 5-4.jpg;https://transnetyx.atlassian.net/secure/attachment/27500/FAILED+COMA-2045+Scenario+5-4.jpg,29/Aug/18 4:29 PM;wwyatt;PASSED RETEST COMA-2045 Scenario 5-1-1.jpg;https://transnetyx.atlassian.net/secure/attachment/27503/PASSED+RETEST+COMA-2045+Scenario+5-1-1.jpg,29/Aug/18 4:29 PM;wwyatt;PASSED RETEST COMA-2045 Scenario 5-1-2.jpg;https://transnetyx.atlassian.net/secure/attachment/27504/PASSED+RETEST+COMA-2045+Scenario+5-1-2.jpg,29/Aug/18 4:29 PM;wwyatt;PASSED RETEST COMA-2045 Scenario 5-2-1.jpg;https://transnetyx.atlassian.net/secure/attachment/27505/PASSED+RETEST+COMA-2045+Scenario+5-2-1.jpg,29/Aug/18 4:29 PM;wwyatt;PASSED RETEST COMA-2045 Scenario 5-2-2.jpg;https://transnetyx.atlassian.net/secure/attachment/27506/PASSED+RETEST+COMA-2045+Scenario+5-2-2.jpg,29/Aug/18 4:29 PM;wwyatt;PASSED RETEST COMA-2045 Scenario 5-3-1.jpg;https://transnetyx.atlassian.net/secure/attachment/27507/PASSED+RETEST+COMA-2045+Scenario+5-3-1.jpg,29/Aug/18 4:30 PM;wwyatt;PASSED RETEST COMA-2045 Scenario 5-3-2.jpg;https://transnetyx.atlassian.net/secure/attachment/27508/PASSED+RETEST+COMA-2045+Scenario+5-3-2.jpg,29/Aug/18 4:30 PM;wwyatt;PASSED RETEST COMA-2045 Scenario 5-4-1.jpg;https://transnetyx.atlassian.net/secure/attachment/27509/PASSED+RETEST+COMA-2045+Scenario+5-4-1.jpg,29/Aug/18 4:30 PM;wwyatt;PASSED RETEST COMA-2045 Scenario 5-4-2.jpg;https://transnetyx.atlassian.net/secure/attachment/27510/PASSED+RETEST+COMA-2045+Scenario+5-4-2.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,jcox,bkoch,{},,,,,,,,,,,,,,None,,,,,,Unassigned,jmedlock,wwyatt,0|i00zun:,,,,,,,,YX Connect,,,,,,,,,,,,,,,,,,,,,,,,,,,
Downloading template or uploading file throws YSOD with message about timezones for New Groups,COMA-2691,29587,29448,Rework,Testing PASSED,COMA,Colony Manager,software,admin,,,3 Standard,,bwinter,bwinter,bwinter,23/Aug/18 12:15 PM,30/Aug/18 10:44 AM,04/Sep/18 11:20 AM,,,CM - Release 1.2,,,0,,,,,,,"h1. What happened:

# Create a new group
# Add 1 or more strains
# Navigate to New Mouse Import (Mice List > Import Mice)
# Click Download Template
# YSOD thrown <- {color:#d04437}UNEXPECTED{color}
# Click Browser > select an appropriate XLSX file > click Upload File
# YSOD thrown <- {color:#d04437}UNEXPECTED{color}

h1. What I expected to happen:

When clicking Download Template or Upload File, I do not expect a YSOD to be thrown.",,,,;23/Aug/18 3:34 PM;rwilliams;7200,,,,,,,,,0,7200,,,0,7200,,COMA-2651,,,,,,,,,,,23/Aug/18 12:14 PM;bwinter;REWORK - Download Template throws YSOD - 2018-08-23 10_06_32-.png;https://transnetyx.atlassian.net/secure/attachment/27441/REWORK+-+Download+Template+throws+YSOD+-+2018-08-23+10_06_32-.png,23/Aug/18 12:14 PM;bwinter;REWORK - Upload File throws YSOD - 2018-08-23 10_41_43-.png;https://transnetyx.atlassian.net/secure/attachment/27442/REWORK+-+Upload+File+throws+YSOD+-+2018-08-23+10_41_43-.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,rwilliams,rwilliams,{},,,,,,,,,,,,,,None,,,,,,Unassigned,cleduc,bwinter,0|i00zt3:,,,,,,New Product/Feature,,YX Connect,,30/Aug/18 10:44 AM;bwinter;Testing passed.  No screen shot taken.  Created new group.  Did not save timezone.  Uploaded XLSX.  Everything worked as expected.,,,,,,,,,,,,,,,,,,,,,,,,,
QA Release 18232 - 2018-08-20,COMA-2687,29574,,Release,Complete,COMA,Colony Manager,software,admin,,,3 Standard,Done,,rwilliams,rwilliams,20/Aug/18 1:56 PM,29/Aug/18 12:30 PM,04/Sep/18 11:20 AM,21/Aug/18 11:38 AM,,CM - Release 1.2,,,0,,,,,,,"COMA-2681
COMA-2651
COMA-2045

h1. Notes

*Regression Failure release - 2018-08-21 @ 12:20 PM*
* *Regression Notes:* See COMA-2688 ",,,,;21/Aug/18 11:38 AM;rwilliams;1800,,,,,,,,0,0,1800,"9,223,372,036,854,775,807%",0,0,1800,,,,,,,COMA-2688,,,COMA-2045,COMA-2651,COMA-2681,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{},,,,,,,,,,,,,,None,,,,,,Unassigned,,,0|i00zq7:,,,,,,New Product/Feature,,YX Connect,2018-08-20 20:26:28.936,20/Aug/18 3:26 PM;mbender;[~rwilliams] [~bwinter] The colony automated regression script suite is failing when navigating to the shopping cart.,21/Aug/18 12:25 PM;mbender;[~rwilliams] and [~bwinter] the automated regression script suites 'Smoke Test' and 'Critical Path' have passed on Colony Manager QA post this build.,,,,,,,,,,,,,,,,,,,,,,,,
Migrate Groups from Labfinity to Colony,COMA-2686,29573,,Task,In Progress,COMA,Colony Manager,software,admin,,,3 Standard,,rwilliams,jcox,jcox,20/Aug/18 10:55 AM,29/Aug/18 7:40 AM,04/Sep/18 11:20 AM,,,CM - Release 1.2,,,0,,,,,,,"_As a Labfinity user, I need all my stuff moved to Colony._

+Acceptance Criteria:+
* All remaining Groups and sub-data have been migrated to Colony.
* All Systems that depend on Labfinity have been disconnected from Labfinity.
",,,,;29/Aug/18 7:40 AM;rwilliams;57600,,,,,,,,576000,518400,57600,10%,576000,518400,57600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{},,,,,,,,,,,,,,None,,,,,,Unassigned,,,0|i00zpz:,,,,,,New Product/Feature,,YX Connect,,,,,,,,,,,,,,,,,,,,,,,,,,,
QA Release 18227 - 2018-08-15,COMA-2685,29570,,Release,Complete,COMA,Colony Manager,software,admin,,,3 Standard,Done,,rwilliams,rwilliams,15/Aug/18 6:08 PM,17/Aug/18 1:15 PM,04/Sep/18 11:20 AM,17/Aug/18 1:10 PM,,CM - Release 1.2,,,0,,,,,,,"COMA-2647
COMA-2589

h1. Notes

*Urgent fix release - 2018-08-16 @ 11:51 AM*
* *Change made:* Quick fixed needed for YSOD error when exporting mice list to XLSX.  YSOD discussed in person with Jaime and over Skype with Carrie after stand-up. Normal rework process bypassed due to urgency of this ticket getting to PROD
* *Change made by*: [~jjensen]
* *Change approved by*: [~cleduc]
* *Change affected* COMA-2647. See Jamie's comments on this tickets for details.

*Urgent fix release - 2018-08-17 @ 09:47 AM*
* *Change made:* Another quick fixed needed for YSOD error when exporting mice list to XLSX.  YSOD discussed in person with Jaime and Carrie over Team chat. Normal rework process bypassed due to urgency of this ticket getting to PROD. 
* *Change made by*: [~jjensen]
* *Change approved by*: [~cleduc]
* *Change affected* COMA-2647. See Jamie's comments on this tickets for details.",,,,;17/Aug/18 1:10 PM;bwinter;900,,,,,,,,,0,900,,,0,900,,,,,,,,,,COMA-2589,COMA-2647,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{},,,,,,,,,,,,,,None,,,,,,Unassigned,,,0|i00zpb:,,,,,,New Product/Feature,,YX Connect,2018-08-16 13:51:57.701,"16/Aug/18 8:51 AM;wwyatt;Hey [~mbender], I saw you ran the production script. Have you had a chance to run the QA script?","16/Aug/18 8:54 AM;mbender;[~wwyatt] no not yet, I will be doing that this morning.",16/Aug/18 10:05 AM;mbender;[~wwyatt] Automated regression script suite 'Critical Path' has passed on Colony QA post this build.,"17/Aug/18 11:00 AM;bwinter;[~mbender], the QA push is complete.  When you get a chance later today, do you mind firing off the scripts?",17/Aug/18 12:27 PM;mbender;[~bwinter] The automated regression script suites 'Smoke Test' and 'Critical Path' have passed on Colony QA post this update to this build.,"17/Aug/18 1:14 PM;bwinter;[~cleduc], this release is ready to go to production!  WOOT! WOOT!

CC: [~rwilliams], [~jjensen], [~mbender], [~jmedlock], [~jcox]",,,,,,,,,,,,,,,,,,,,
Automatic Welcome Email,COMA-2684,29566,,Story,Backlog,COMA,Colony Manager,software,admin,,,3 Standard,,,jcox,jcox,15/Aug/18 2:24 PM,23/Aug/18 9:10 AM,04/Sep/18 11:20 AM,,,CM - Release 1.2,,,0,,,,,,,"_As a User, I would like to receive a Welcome email when I register to use Colony that shows me where to go for support resources._

+Acceptance Criteria:+

* When a new user registers, an email is sent to them automatically welcoming them.
* This email will need to be BCC’d to [sales@transnetyx.com|mailto:sales@transnetyx.com], as well as Carrie and Amanda.
* URLs to the TCOM support site and documents will be included in the template.

\[[~tpoley]‌‌/[~jknight] to provide exact wording and links for this message\]",,,,;16/Aug/18 3:39 PM;jcox;3600,,,,,,,,57600,0,3600,6%,57600,0,3600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,jcox,,{},,,,,,,,,,,,,,None,,,,,,Unassigned,,bwinter,0|i00zof:,,,,,,New Product/Feature,,YX Connect,,,,,,,,,,,,,,,,,,,,,,,,,,,
Update Registration Page - Organization field optional,COMA-2683,29565,,Story,QA,COMA,Colony Manager,software,admin,,,3 Standard,,wwyatt,jcox,jcox,15/Aug/18 2:22 PM,30/Aug/18 4:17 PM,04/Sep/18 11:20 AM,,,CM - Release 1.2,,,0,,,,,,,"_As a Transnetyx sales rep, I need new users to be able to optionally supply their Organization name so that I can better follow up with the lead._

+Acceptance Criteria:+

* Registration page now asks for Organization field.
* Organization field is optional.

+Note to Developer:+

* This will be stored as a new field in the DB that allows the user to just enter text.  
* This won’t tie back to the Organizations table.
",,,,;15/Aug/18 2:23 PM;jcox;3600,;22/Aug/18 2:55 PM;admin;1200,;29/Aug/18 12:46 PM;jadhikari;1800,,,,,,57600,0,6600,11%,57600,0,6600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,jcox,admin,"{pullrequest={dataType=pullrequest, state=OPEN, stateCount=1}, json={""cachedValue"":{""errors"":[],""summary"":{""pullrequest"":{""overall"":{""count"":1,""lastUpdated"":""2018-08-22T16:18:37.940-0500"",""stateCount"":1,""state"":""OPEN"",""dataType"":""pullrequest"",""open"":true},""byInstanceType"":{""bitbucket"":{""count"":1,""name"":""Bitbucket Cloud""}}}}},""isStale"":true}}",,,,,,,,,,,,,,None,,,jadhikari,,,Unassigned,,bwinter,0|i00zo7:,,,,,,New Product/Feature,,YX Connect,,,,,,,,,,,,,,,,,,,,,,,,,,,
Create AALAS 2018 Group in Colony,COMA-2682,29564,,Task,Complete,COMA,Colony Manager,software,admin,,,3 Standard,Done,,jcox,jcox,15/Aug/18 2:20 PM,23/Aug/18 10:57 AM,04/Sep/18 11:20 AM,23/Aug/18 10:54 AM,,CM - Release 1.2,,,0,,,,,,,"To prep for AALAS, we need to create an AALAS 2018 group for people to use as a playground/sandbox.

Per Jim, it will need:
* 4 Strains maximum
* 8 Mice (total) across those 4 strains
* 2 Breedings
* Around 4 cages total, or whatever makes the most sense given the previous criteria",,,,;23/Aug/18 10:54 AM;bwinter;5400,,,,,,,,,0,5400,,,0,5400,,,,,,,,,,,,,23/Aug/18 10:45 AM;bwinter;AALAS 2018 Test Group - COMA-2682.xlsx;https://transnetyx.atlassian.net/secure/attachment/27439/AALAS+2018+Test+Group+-+COMA-2682.xlsx,23/Aug/18 10:57 AM;bwinter;COMA-2682 - 2018-08-23 10_55_26-.png;https://transnetyx.atlassian.net/secure/attachment/27440/COMA-2682+-+2018-08-23+10_55_26-.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{},,,,,,,,,,,,,,None,,,,,,Unassigned,,,0|i00znz:,,,,,,Tech/Engineering,,YX Connect,2018-08-23 00:12:58.142,"22/Aug/18 7:12 PM;rwilliams;[~jmedlock] This is a good candidate for the Mouse import, but someone still needs to create the Strains and other related data. I nominate [~bwinter]. He is good with all of that\!","23/Aug/18 10:51 AM;bwinter;Done.  Group created on QA Environment (see group details below).  Strains created (see chart below).  Mice added (see attached).

Group: AALAS 2018 Test Group
Enrollment Key: E8CBIYX
GUID: 6dd83378-cbea-47f8-8593-b59820863f9a

|| Strain Name || Type of Gene(s) || MGI(s) used to create Mutations||
| B6.Cg-Hephsla/J | X-Linked | 1857042 |
|B6.Cg-Tg(APPswe,PSEN1dE9)85Dbo/Mmjax | Transgene | 3524957 |
| NOD.Cg-Prkdcscid Il2rgtm1Wjl Tg(CMV-IL3,CSF2,KITLG)1Eav/MloySzJ | X-Linked, Standard, Transgene | 1857455, 1857113, 3653745 |
| C57BL/6J | None created | N/A |

CC: [~jmedlock], [~jcox], [~cleduc], [~apacio], [~rwilliams]
",,,,,,,,,,,,,,,,,,,,,,,,
Add Instruction Card to Well Plate UI,COMA-2681,29560,,Story,Testing PASSED,COMA,Colony Manager,software,admin,,,3 Standard,Testing Done,,admin,admin,14/Aug/18 1:16 PM,30/Aug/18 8:58 AM,04/Sep/18 11:20 AM,30/Aug/18 8:58 AM,,CM - Release 1.2,,,0,,,,,,,"_As a user ordering genotyping, I want a link to download a well plate card, so that I can print it off._

+Acceptance Criteria+:
* The attached image or PDF asset should be included in the Colony site and available for review from the Wellplate load UI, etc.
* Add a link to view the instruction card to the wellplate UI",,wes wyatt,,;16/Aug/18 5:35 PM;rjonakin;14400,;30/Aug/18 8:58 AM;wwyatt;600,,,,,,,,0,15000,,,0,15000,,,,,,,,,,,,,14/Aug/18 3:40 PM;admin;Back.jpg;https://transnetyx.atlassian.net/secure/attachment/27363/Back.jpg,14/Aug/18 3:40 PM;admin;Front.jpg;https://transnetyx.atlassian.net/secure/attachment/27362/Front.jpg,16/Aug/18 5:26 PM;rjonakin;LocationOfLink.png;https://transnetyx.atlassian.net/secure/attachment/27420/LocationOfLink.png,30/Aug/18 8:57 AM;wwyatt;PASSED COMA-2681-1.jpg;https://transnetyx.atlassian.net/secure/attachment/27525/PASSED+COMA-2681-1.jpg,30/Aug/18 8:57 AM;wwyatt;PASSED COMA-2681-2.jpg;https://transnetyx.atlassian.net/secure/attachment/27524/PASSED+COMA-2681-2.jpg,30/Aug/18 8:57 AM;wwyatt;PASSED COMA-2681-3.jpg;https://transnetyx.atlassian.net/secure/attachment/27523/PASSED+COMA-2681-3.jpg,14/Aug/18 3:40 PM;admin;Updated 10x7 Instruction Card v1.1.pdf;https://transnetyx.atlassian.net/secure/attachment/27364/Updated+10x7+Instruction+Card+v1.1.pdf,30/Aug/18 8:57 AM;wwyatt;WellplateInstructions.pdf;https://transnetyx.atlassian.net/secure/attachment/27526/WellplateInstructions.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{pullrequest={dataType=pullrequest, state=MERGED, stateCount=1}, json={""cachedValue"":{""errors"":[],""summary"":{""pullrequest"":{""overall"":{""count"":1,""lastUpdated"":""2018-08-20T14:02:19.319-0500"",""stateCount"":1,""state"":""MERGED"",""dataType"":""pullrequest"",""open"":false},""byInstanceType"":{""bitbucket"":{""count"":1,""name"":""Bitbucket Cloud""}}}}},""isStale"":true}}",,,,,,,,,,,,,,None,,,,,,Unassigned,cleduc,bwinter,0|i00zn3:,,,,,,New Product/Feature,,YX Connect,,,,,,,,,,,,,,,,,,,,,,,,,,,
Create process for migrating Labfinity data to Colony,COMA-2680,29559,,Story,Development,COMA,Colony Manager,software,admin,,,3 Standard,,rjonakin,jcox,jcox,14/Aug/18 10:32 AM,22/Aug/18 9:51 AM,04/Sep/18 11:20 AM,,,CM - Release 1.2,,,0,,,,,,,"_As a Labfinity user moving to Colony, I need my data to be migrated into the Colony system._

+Acceptance Criteria:+
* Outline of objects that need to be moved (mice, strains, alleles, users. groups, etc.)
* Identify other systems that have dependencies on Labfinity
* QA team to help verify that 1 group has successfully migrated into the QA environment

",,,,;16/Aug/18 3:39 PM;jcox;3600,,,,,,,,288000,0,3600,1%,288000,0,3600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,jcox,rjonakin,{},,,,,,,,,,,,,,None,,,,,,Unassigned,,bwinter,0|i00zmv:,,,,,,New Product/Feature,,YX Connect,,,,,,,,,,,,,,,,,,,,,,,,,,,
